id,region,age,education_years,income,gender,employment_status,marital_status,household_size,weekly_work_hours,support_1,support_2,support_3,support_4,support_5,stress_1,stress_2,stress_3,stress_4,stress_5,life_satisfaction_1,life_satisfaction_2,life_satisfaction_3,life_satisfaction_4,life_satisfaction_5
520,A,36,12,133,female,nonregular,never_married,1,21,1,1,1,2,5,5,5,5,5,1,3,1,1,1,3
521,A,28,9,0,male,not_employed,never_married,4,0,2,4,4,4,4,3,2,3,3,4,3,4,3,1,1
522,A,75,16,212,male,self_employed,divorced,1,42,2,2,3,3,3,2,4,3,4,2,3,5,4,4,3
523,B,35,12,274,male,regular,married,2,43,1,2,4,1,5,5,5,4,5,1,1,3,1,3,4
524,B,74,16,466,male,self_employed,married,2,18,4,3,2,4,3,4,5,2,3,3,3,4,4,4,3
525,B,27,12,101,female,nonregular,never_married,1,17,2,2,1,2,4,4,5,4,3,3,2,1,2,1,5
526,A,28,18,557,male,regular,never_married,2,41,2,3,2,3,2,3,2,2,2,2,2,1,3,2,4
527,A,39,16,1124,other,regular,divorced,1,34,3,4,3,3,3,5,4,3,3,2,2,2,4,3,4
528,B,52,12,98,male,not_employed,married,3,0,5,3,5,3,2,1,2,2,1,5,5,5,4,5,1
529,B,58,14,214,female,nonregular,married,2,17,3,3,3,3,3,2,3,4,1,4,2,4,3,3,3
530,B,32,12,178,female,regular,married,2,41,1,2,4,1,2,5,4,5,5,2,1,1,2,1,4
531,A,74,16,62,male,not_employed,married,4,0,4,5,3,4,4,2,2,2,2,4,4,3,3,2,1
532,A,47,12,292,male,not_employed,married,5,0,2,2,4,4,4,3,2,4,3,3,4,4,4,4,1
533,B,75,14,70,male,not_employed,widowed,1,0,5,4,5,5,1,2,2,1,3,4,3,5,3,4,1
534,B,64,16,0,female,not_employed,married,2,0,4,3,4,4,3,3,2,3,3,3,2,1,3,3,3
535,B,25,14,142,female,not_employed,never_married,1,0,3,3,4,5,2,3,4,2,3,3,2,2,3,2,4
536,A,25,14,358,female,regular,never_married,2,36,2,3,3,1,4,3,4,4,3,2,3,2,3,2,2
537,A,56,12,175,male,nonregular,married,4,23,4,4,3,5,3,2,2,4,2,1,3,3,2,4,4
538,B,68,12,98,female,not_employed,widowed,1,0,1,1,2,2,2,5,4,5,5,2,3,4,3,2,4
539,A,61,16,748,male,regular,never_married,4,44,3,4,2,3,3,3,4,3,4,1,2,3,4,2,3
540,A,28,12,79,male,not_employed,never_married,4,0,4,4,3,4,1,3,3,2,2,5,2,2,1,3,3
541,A,21,12,704,female,self_employed,married,4,39,3,2,1,1,5,5,3,4,3,2,2,2,3,3,2
542,A,43,12,552,male,regular,never_married,5,39,5,3,4,4,1,2,2,2,2,5,5,4,5,5,1
543,B,51,16,633,female,regular,married,4,38,1,1,2,1,5,4,4,5,4,2,1,2,2,1,5
544,A,67,16,70,female,not_employed,married,2,0,4,5,3,4,1,3,2,5,4,3,3,3,3,3,4
545,B,47,14,451,female,regular,married,4,48,3,3,3,4,4,2,1,3,4,2,5,4,4,3,3
546,B,52,14,116,female,not_employed,married,5,0,3,3,4,5,1,4,4,4,3,2,3,4,1,4,4
547,A,21,12,277,female,regular,never_married,1,39,3,2,3,4,5,4,3,3,3,2,3,4,3,4,2
548,A,73,9,69,male,not_employed,widowed,5,0,2,3,2,2,5,1,2,4,2,5,2,3,3,3,2
549,B,63,9,0,female,not_employed,married,4,0,3,2,4,4,2,2,2,3,2,4,3,5,3,3,3
550,B,47,12,0,male,not_employed,married,2,0,1,2,2,1,5,4,5,4,3,3,3,4,2,3,2
551,A,21,9,241,male,regular,married,3,39,3,3,4,3,3,2,3,3,1,3,3,4,3,2,3
552,A,34,9,459,male,regular,never_married,1,42,2,2,2,2,3,3,2,4,3,4,2,3,3,3,3
553,B,78,16,131,female,not_employed,married,4,0,5,4,5,5,1,2,2,2,4,2,5,5,5,5,1
554,B,51,12,93,female,not_employed,married,2,0,4,3,4,4,3,3,4,2,3,4,3,3,3,3,4
555,B,36,16,487,female,regular,married,4,36,2,3,2,2,4,1,1,3,1,3,4,4,3,3,3
556,B,61,16,82,male,self_employed,married,5,33,4,3,2,3,4,4,4,5,4,2,3,3,3,5,1
557,A,76,14,287,female,not_employed,widowed,1,0,1,4,1,3,2,3,4,5,4,3,3,5,3,5,3
558,B,71,12,0,male,not_employed,married,2,0,2,2,1,2,5,4,4,5,4,2,3,4,3,2,3
559,A,22,14,389,female,nonregular,never_married,3,20,3,1,2,2,4,2,3,3,4,4,3,4,4,2,4
560,B,37,12,188,female,nonregular,married,4,12,3,3,2,4,3,2,3,2,3,3,5,4,3,3,2
561,A,59,16,298,female,not_employed,married,5,0,4,4,3,3,2,4,3,3,2,3,2,3,3,4,4
562,A,66,12,125,male,nonregular,divorced,1,23,2,3,4,2,2,3,3,1,3,4,4,4,3,5,2
563,A,71,12,122,male,not_employed,married,4,0,5,3,4,3,4,2,3,1,3,4,4,5,4,5,1
564,A,76,12,137,female,not_employed,widowed,6,0,4,3,3,3,3,3,3,2,3,4,5,4,3,3,3
565,A,75,9,200,male,not_employed,married,5,0,4,3,2,3,4,5,3,4,4,4,3,2,1,2,5
566,B,49,14,526,male,regular,married,4,34,5,5,5,4,2,4,5,4,4,2,5,5,5,4,1
567,B,49,9,157,male,nonregular,married,4,15,2,3,3,1,4,1,3,2,2,3,4,4,4,3,3
568,A,48,16,221,female,nonregular,married,4,28,1,3,3,1,4,2,3,3,3,3,4,5,5,4,2
569,A,79,14,0,male,not_employed,married,3,0,3,3,5,2,3,2,3,4,1,2,4,3,3,4,2
570,A,77,14,190,male,not_employed,divorced,1,0,4,4,1,3,3,3,2,2,1,4,4,4,5,4,2
571,B,45,16,568,female,regular,married,2,44,3,3,3,2,4,5,4,3,4,2,2,2,1,1,5
572,A,60,16,0,female,not_employed,divorced,3,0,1,1,1,1,5,4,4,4,5,3,1,1,1,1,5
573,B,62,14,459,female,regular,married,3,37,4,3,3,3,2,5,4,2,3,4,3,3,4,3,3
574,B,34,12,377,female,regular,married,4,38,3,4,5,2,5,3,5,3,4,3,3,2,3,3,4
575,B,74,14,235,female,nonregular,married,4,26,3,4,3,3,4,3,3,3,4,4,4,5,5,5,1
576,B,70,12,354,male,regular,widowed,1,38,5,5,4,5,1,1,2,1,3,4,4,3,3,4,3
577,B,75,9,135,female,not_employed,widowed,1,0,3,4,3,5,4,1,1,3,2,4,5,4,4,5,1
578,A,41,14,68,male,not_employed,married,3,0,2,3,3,1,5,3,4,4,4,3,2,2,2,1,5
579,A,24,9,152,female,regular,married,3,51,2,1,1,1,3,1,2,1,2,2,2,1,2,1,5
580,B,63,9,236,female,nonregular,married,2,10,2,4,4,3,3,3,3,5,3,2,3,4,4,4,3
581,A,51,12,246,female,nonregular,married,2,29,5,5,5,5,1,3,3,1,3,4,5,5,5,4,1
582,B,36,9,87,female,nonregular,never_married,5,15,4,4,4,5,3,1,1,1,1,4,4,5,5,4,1
583,B,26,12,259,female,regular,never_married,1,50,3,1,2,2,5,3,3,2,2,4,2,1,2,1,5
584,B,58,12,435,female,regular,never_married,5,45,3,4,1,2,3,3,3,5,4,3,4,5,5,5,3
585,A,34,9,299,male,regular,never_married,1,44,4,2,4,2,3,3,1,1,2,5,3,1,2,2,4
586,A,44,12,333,female,regular,married,3,39,2,2,2,4,3,1,3,2,3,4,5,5,5,5,1
587,A,76,16,0,male,not_employed,married,5,0,1,1,2,2,4,2,4,4,2,4,4,3,4,3,3
588,A,69,14,261,male,not_employed,divorced,2,0,1,2,1,1,4,3,5,3,4,1,3,2,4,2,2
589,B,32,12,584,male,regular,never_married,1,52,2,3,3,3,5,3,3,4,4,2,2,3,2,3,4
590,A,58,14,498,male,regular,married,4,34,5,4,4,4,1,3,3,3,5,2,4,3,5,5,3
591,B,45,14,777,male,regular,divorced,1,32,2,3,5,2,3,4,5,4,4,5,4,3,2,4,3
592,B,26,9,160,female,nonregular,never_married,1,18,4,2,1,4,3,4,5,5,5,2,1,1,1,1,5
593,B,55,12,152,male,nonregular,married,4,20,3,2,1,3,3,2,4,4,3,2,2,2,2,3,3
594,A,51,12,493,male,regular,married,4,47,1,3,1,1,4,3,4,4,4,1,3,1,5,4,2
595,A,72,16,0,female,not_employed,widowed,4,0,5,4,5,3,4,2,2,4,4,3,3,4,4,4,1
596,A,26,12,370,female,regular,never_married,1,39,1,3,2,2,4,4,3,4,3,2,4,3,4,2,4
597,A,51,14,305,male,self_employed,married,5,29,3,3,4,4,5,2,3,4,4,1,3,4,5,3,4
598,A,37,12,187,female,nonregular,never_married,3,14,1,1,1,1,5,4,5,5,5,1,2,1,1,1,5
599,B,21,12,104,female,nonregular,never_married,1,11,3,4,3,3,1,3,4,4,3,3,3,3,3,2,2
600,B,54,16,0,male,not_employed,widowed,1,0,1,1,2,1,4,5,4,4,5,1,1,1,1,1,5
601,A,52,14,156,male,nonregular,married,2,24,4,4,3,3,3,1,3,3,2,4,3,3,3,1,3
602,A,30,16,0,female,not_employed,never_married,1,0,3,2,3,3,5,5,4,3,5,1,2,2,1,1,5
603,A,20,14,334,male,regular,never_married,1,39,5,4,4,4,1,2,2,2,3,4,4,4,4,5,2
604,B,43,16,1036,male,regular,married,2,43,5,5,4,4,1,3,4,3,4,4,4,3,5,4,1
605,B,69,16,581,female,regular,married,4,39,4,4,3,4,2,3,2,1,3,3,5,5,5,5,2
606,A,45,12,586,female,regular,divorced,5,36,3,4,4,2,3,2,2,1,1,3,3,3,3,5,4
607,B,67,16,181,female,not_employed,married,2,0,3,4,4,5,2,3,2,1,2,5,5,5,5,5,1
608,B,59,12,478,male,regular,married,2,37,3,1,4,2,3,3,3,3,1,3,4,2,3,3,3
609,A,45,9,401,male,regular,married,5,31,4,1,1,2,5,3,3,3,2,3,3,1,1,2,3
610,B,26,12,612,male,regular,never_married,1,45,4,3,4,2,3,2,1,3,1,4,3,4,2,3,3
611,B,44,12,290,male,self_employed,never_married,4,55,2,1,1,1,4,3,5,4,3,2,1,1,1,1,5
612,B,77,12,68,female,not_employed,married,2,0,4,4,3,3,3,4,3,5,4,3,4,1,5,3,3
613,A,38,14,335,male,nonregular,married,2,20,2,4,2,3,2,2,2,3,3,3,1,1,1,1,4
614,A,59,16,120,female,not_employed,married,4,0,3,1,2,2,3,2,2,1,2,4,2,2,2,3,4
615,A,77,16,74,female,nonregular,divorced,3,23,3,2,3,3,4,3,3,1,1,4,2,3,3,1,3
616,B,25,12,70,male,nonregular,never_married,1,17,2,4,4,5,2,4,2,3,4,2,1,2,3,4,3
617,A,31,16,374,female,regular,never_married,3,40,3,3,1,3,3,4,1,4,3,2,1,1,2,1,4
618,B,31,14,442,female,regular,divorced,1,51,3,2,1,3,5,3,3,4,4,3,2,1,1,1,3
619,B,30,12,140,male,nonregular,married,2,19,2,4,3,3,3,2,3,2,2,4,3,4,1,5,1
620,B,72,14,151,male,not_employed,married,2,0,3,3,1,2,3,3,3,3,4,1,2,1,2,1,4
621,A,43,18,505,female,regular,married,4,43,3,2,5,4,3,2,3,3,3,5,3,4,4,2,2
622,B,65,12,278,male,nonregular,never_married,1,30,3,3,2,3,4,4,4,4,3,2,2,3,2,3,2
623,B,64,14,255,female,regular,divorced,3,38,4,4,3,4,4,3,2,3,2,4,3,3,2,4,3
624,A,73,12,448,male,self_employed,married,6,35,5,5,4,5,1,1,2,1,1,5,5,5,5,4,2
625,A,79,12,0,male,not_employed,married,3,0,3,3,3,4,1,2,4,5,3,4,5,4,5,4,1
626,A,42,14,493,female,regular,married,2,37,3,3,2,3,3,3,4,3,3,1,3,3,3,4,2
627,A,56,12,257,male,not_employed,married,3,0,3,4,3,3,3,5,5,3,4,2,1,1,2,1,5
628,B,29,12,174,male,self_employed,married,2,30,2,3,3,3,4,4,5,4,3,2,1,2,1,1,4
629,B,49,14,62,male,not_employed,married,3,0,4,1,3,2,3,2,2,2,3,4,2,3,4,1,4
630,A,31,12,433,male,regular,never_married,4,36,3,3,4,4,2,3,1,2,2,4,3,3,2,2,3
631,A,77,16,172,male,not_employed,married,2,0,5,4,3,3,3,4,3,5,4,3,4,2,3,3,3
632,B,49,16,393,male,self_employed,never_married,5,33,4,1,3,3,4,3,2,4,3,3,4,4,2,3,3
633,A,72,9,141,female,nonregular,married,3,15,3,2,2,2,5,5,4,3,5,3,4,2,5,4,4
634,B,46,14,141,female,nonregular,married,4,22,1,4,3,5,4,1,2,2,1,4,4,4,5,4,2
635,B,53,14,58,female,not_employed,married,2,0,1,4,3,2,2,5,5,5,5,2,2,3,3,2,5
636,B,51,16,77,male,not_employed,never_married,1,0,4,5,3,4,2,1,2,1,2,5,5,5,4,4,3
637,A,74,14,0,male,not_employed,divorced,4,0,4,5,5,5,3,3,5,3,4,3,5,4,4,5,2
638,B,73,9,163,female,self_employed,married,3,45,1,1,2,1,2,5,5,5,4,2,3,5,3,4,2
639,B,34,12,140,female,nonregular,married,2,12,2,2,2,1,3,4,2,4,4,2,2,1,1,1,4
640,A,43,9,67,female,not_employed,married,3,0,3,4,4,4,2,2,3,3,2,4,3,3,4,3,3
641,B,45,12,118,female,not_employed,married,3,0,3,3,4,2,4,3,5,3,3,2,1,1,4,2,4
642,B,73,12,391,female,regular,widowed,2,44,4,4,4,3,1,2,1,2,2,4,4,5,4,5,2
643,A,20,12,335,female,regular,married,2,37,1,3,2,1,3,5,5,3,4,2,2,2,3,1,5
644,A,60,14,153,female,nonregular,married,2,26,3,3,4,3,3,1,2,3,2,3,1,2,3,1,4
645,A,21,12,270,female,regular,never_married,1,32,1,1,2,1,5,5,4,5,5,1,1,2,1,1,4
646,A,62,14,105,male,not_employed,married,4,0,3,5,3,2,3,4,4,4,5,4,2,4,4,3,2
647,B,71,16,0,female,not_employed,married,2,0,4,3,2,4,1,4,4,2,3,4,3,5,4,4,5
648,A,58,12,172,male,not_employed,married,3,0,3,3,3,3,2,2,3,3,3,2,4,3,4,4,2
649,A,59,9,0,male,not_employed,never_married,1,0,4,3,5,2,4,3,5,3,2,3,2,3,3,2,5
650,B,27,9,327,female,regular,never_married,1,39,5,4,5,5,1,4,4,2,3,5,3,4,5,4,3
651,B,30,12,323,female,self_employed,never_married,2,39,1,3,3,1,4,3,3,2,3,5,2,2,3,2,3
652,B,40,16,244,female,not_employed,never_married,1,0,2,3,2,3,5,5,5,5,4,1,3,2,4,2,3
653,B,56,14,93,female,not_employed,never_married,1,0,3,3,3,4,2,3,2,4,2,3,5,4,5,5,1
654,A,61,12,133,male,not_employed,married,5,0,3,4,4,4,1,4,4,3,3,1,5,3,3,4,3
655,B,79,18,65,male,not_employed,widowed,1,0,3,3,4,4,2,1,1,3,1,3,4,3,4,4,5
656,B,69,16,0,female,not_employed,married,4,0,2,2,4,3,4,4,4,3,4,2,2,2,4,1,4
657,A,47,16,271,female,nonregular,married,3,20,4,4,2,2,4,3,3,3,3,4,3,5,2,3,1
658,B,25,16,207,female,nonregular,married,6,12,2,3,3,2,2,3,2,4,4,2,1,1,3,1,5
659,A,25,9,257,female,regular,never_married,1,45,4,3,3,3,4,3,3,4,4,2,4,2,3,3,2
660,B,60,12,135,male,self_employed,divorced,4,17,5,5,5,5,1,3,2,2,2,3,5,5,5,5,1
661,A,23,12,343,male,regular,never_married,2,39,1,2,2,2,3,3,5,5,5,3,2,3,2,2,3
662,A,55,12,509,male,self_employed,married,5,50,4,5,3,4,2,3,2,3,2,5,3,5,2,4,2
663,A,49,16,686,male,regular,married,2,36,3,1,3,2,5,3,4,3,5,2,1,2,2,1,3
664,A,61,16,329,male,regular,divorced,3,34,5,5,3,3,1,5,5,4,4,2,3,4,3,4,3
665,A,58,12,144,male,not_employed,married,4,0,4,3,4,4,3,3,3,3,4,3,3,4,3,3,2
666,A,72,16,797,female,self_employed,married,2,50,3,5,4,4,1,3,3,4,2,4,3,2,3,4,2
667,A,41,12,736,female,regular,married,2,38,2,3,2,3,4,3,2,3,3,3,2,2,2,2,2
668,A,78,14,168,male,self_employed,married,5,54,2,2,2,2,3,2,2,2,1,5,4,3,4,3,2
669,B,66,16,905,female,regular,married,2,34,4,3,5,3,2,3,3,2,3,3,3,5,4,4,1
670,A,20,12,212,male,regular,never_married,1,47,2,1,2,4,5,3,1,2,2,2,2,3,3,2,3
671,A,60,16,260,male,not_employed,married,3,0,3,4,4,4,1,3,5,3,5,2,3,3,4,4,3
672,B,68,12,594,female,self_employed,married,2,28,4,4,4,5,2,2,2,2,1,4,5,4,5,5,1
673,A,25,14,489,female,regular,never_married,1,48,1,2,2,2,3,4,4,5,3,2,1,2,1,1,4
674,B,67,9,0,male,not_employed,married,2,0,5,5,4,5,2,3,3,4,4,4,3,3,2,2,3
675,B,51,9,143,male,nonregular,married,4,23,2,1,3,3,4,3,3,3,2,1,3,2,2,2,2
676,A,34,14,0,male,not_employed,never_married,1,0,5,3,3,3,2,3,2,2,3,4,2,2,1,2,3
677,B,53,14,702,male,self_employed,never_married,1,53,2,3,5,3,3,5,4,4,4,3,1,2,1,1,5
678,A,52,12,175,female,nonregular,never_married,3,15,4,4,4,4,3,2,1,3,1,4,3,3,3,3,2
679,A,55,12,0,male,not_employed,married,2,0,5,5,5,5,3,5,4,3,5,1,4,5,5,4,1
680,B,35,14,136,male,nonregular,married,4,25,2,2,2,1,4,5,5,5,5,2,2,1,1,1,4
681,B,39,16,464,female,regular,never_married,5,30,3,3,5,2,3,3,4,5,5,1,3,3,2,4,4
682,B,68,16,48,male,not_employed,divorced,1,0,5,4,4,4,3,4,4,4,3,1,2,3,4,3,4
683,B,31,9,410,female,regular,married,2,32,2,1,3,3,1,4,2,1,2,3,3,4,4,4,2
684,A,70,12,0,female,not_employed,widowed,1,0,3,1,2,2,3,5,5,4,5,2,4,3,3,5,1
685,A,39,12,0,male,not_employed,married,5,0,2,2,1,3,4,4,3,1,3,2,1,2,2,3,4
686,A,77,12,176,male,not_employed,widowed,4,0,5,3,5,4,2,3,2,2,1,3,5,5,3,5,1
687,A,56,14,188,female,nonregular,married,4,12,5,3,5,4,1,2,3,4,3,3,5,5,4,4,2
688,A,31,14,173,female,nonregular,never_married,1,22,4,5,4,5,2,2,1,1,1,3,4,3,4,4,3
689,B,48,16,630,female,regular,married,2,31,2,1,3,2,4,4,5,2,5,1,3,3,2,2,2
690,B,56,9,211,other,not_employed,never_married,1,0,2,5,3,4,3,4,2,2,4,3,2,1,4,2,3
691,A,20,14,266,female,regular,never_married,1,47,2,3,3,2,4,4,5,4,4,2,1,2,2,2,4
692,A,49,12,446,female,self_employed,married,3,38,4,3,5,4,2,4,2,4,3,3,5,3,2,3,2
693,B,30,9,0,female,not_employed,married,2,0,3,2,3,1,5,3,3,3,2,4,1,1,1,2,3
694,B,46,12,0,female,not_employed,married,2,0,1,2,3,3,2,2,3,4,2,2,2,2,1,1,5
695,A,78,12,137,female,not_employed,divorced,6,0,3,4,4,4,2,3,4,2,4,2,4,4,5,4,1
696,B,39,12,0,female,not_employed,married,5,0,4,5,5,3,3,1,1,3,1,5,3,4,2,3,3
697,A,56,9,81,female,not_employed,married,2,0,1,1,3,3,5,4,3,4,3,3,4,3,3,2,5
698,A,67,14,122,female,not_employed,married,2,0,4,3,5,4,2,3,4,3,3,4,5,4,4,5,4
699,B,34,14,225,male,self_employed,married,2,41,4,1,2,2,3,3,3,2,1,2,3,2,3,2,3
700,A,47,9,148,female,nonregular,married,2,23,4,3,2,3,3,3,2,2,1,4,2,1,4,2,4
701,B,20,12,424,male,regular,never_married,3,42,2,4,3,3,2,1,2,2,1,4,3,4,1,5,3
702,B,51,14,371,female,regular,married,4,47,3,2,3,3,4,5,3,4,4,2,3,1,2,2,5
703,A,28,12,106,female,nonregular,never_married,1,21,4,3,5,4,3,3,2,4,4,3,4,2,3,3,2
704,A,29,12,276,female,nonregular,married,2,17,2,2,3,2,4,3,4,4,4,2,4,3,3,3,4
705,B,75,12,65,female,nonregular,married,5,18,4,4,3,3,5,4,4,4,4,2,4,4,3,4,2
706,A,66,12,0,female,not_employed,married,3,0,2,2,3,3,2,4,4,4,5,3,3,3,2,4,2
707,B,21,9,325,male,self_employed,married,2,63,3,2,2,3,5,3,2,4,3,3,3,4,3,2,4
708,B,79,14,79,male,not_employed,married,3,0,4,5,5,4,3,2,2,2,1,5,5,5,4,5,1
709,B,35,16,745,female,nonregular,married,4,12,1,3,3,3,3,3,3,3,3,3,4,4,4,4,5
710,A,35,12,361,female,regular,married,3,51,5,5,3,4,3,2,3,3,3,4,3,4,3,2,5
711,A,38,18,864,male,regular,married,2,40,1,1,1,1,5,4,3,3,2,3,3,2,1,2,5
712,A,22,14,80,female,self_employed,never_married,1,58,3,3,3,2,4,4,3,3,4,4,2,2,2,1,4
713,B,47,9,173,male,nonregular,married,2,15,5,5,5,5,3,2,2,3,3,3,4,5,2,2,3
714,B,31,12,455,male,self_employed,never_married,1,28,2,2,2,2,3,2,2,3,2,4,2,4,3,2,3
715,A,28,16,373,female,regular,never_married,1,38,2,2,3,4,3,4,2,4,3,4,3,1,1,1,5
716,B,71,14,186,female,not_employed,married,2,0,4,4,3,3,3,2,2,2,2,2,3,5,3,5,1
717,A,33,16,697,male,regular,married,2,45,4,5,2,3,3,3,5,3,3,3,2,3,5,1,4
718,A,79,16,113,male,not_employed,married,3,0,3,4,3,3,3,4,4,4,5,4,4,4,3,4,3
719,A,68,12,475,male,regular,married,2,30,3,5,3,3,3,3,4,3,4,3,4,4,4,4,3
720,B,67,14,43,male,not_employed,married,2,0,3,3,2,2,4,3,2,4,5,2,5,5,5,5,2
721,B,33,9,310,other,self_employed,never_married,2,38,2,2,2,2,4,4,2,3,3,3,3,4,2,2,2
722,B,60,12,0,male,not_employed,married,2,0,4,5,5,4,2,4,5,5,5,3,2,4,4,2,4
723,B,40,16,355,male,self_employed,never_married,2,41,3,3,3,4,2,2,1,2,1,5,2,3,4,2,3
724,A,33,14,580,female,regular,never_married,1,45,5,4,3,3,1,2,1,2,4,5,3,3,4,3,2
725,A,23,12,127,female,nonregular,never_married,5,17,4,3,3,3,2,4,4,3,2,2,2,3,3,3,3
726,A,54,12,195,male,not_employed,married,4,0,3,2,2,2,4,3,2,5,2,2,2,3,1,2,2
727,B,39,9,173,male,not_employed,divorced,1,0,1,1,1,1,3,4,4,3,4,3,3,3,2,1,2
728,B,31,12,138,female,nonregular,never_married,1,21,3,3,5,3,1,3,3,2,3,5,2,1,2,2,3
729,B,26,18,268,female,regular,never_married,1,39,3,2,2,2,5,2,3,3,3,2,3,4,3,3,1
730,A,35,12,116,male,nonregular,married,5,10,1,1,2,2,4,4,3,4,3,3,3,4,4,3,2
731,B,50,16,335,male,self_employed,married,2,40,3,3,2,2,3,5,4,4,5,2,2,1,2,2,2
732,A,23,16,332,female,regular,never_married,1,43,1,1,1,1,4,5,4,4,4,2,2,4,3,2,3
733,B,52,16,177,male,self_employed,married,2,48,1,3,3,2,2,2,2,3,3,4,2,3,4,4,4
734,B,26,12,453,other,regular,never_married,4,41,2,1,2,1,5,3,3,3,2,4,3,2,4,3,2
735,B,56,12,251,female,self_employed,married,2,37,5,2,3,3,5,1,1,1,1,5,5,4,5,4,2
736,A,55,12,814,male,regular,married,4,35,2,4,2,3,2,2,3,2,3,4,3,4,4,3,4
737,B,63,12,0,female,not_employed,married,2,0,3,4,5,3,2,5,5,4,4,3,5,4,5,4,3
738,A,46,16,1774,female,regular,never_married,2,34,1,4,3,2,3,4,4,3,4,4,4,3,3,4,4
739,A,76,14,203,female,not_employed,widowed,1,0,4,2,2,2,3,1,1,3,2,4,4,5,5,4,1
740,B,35,18,508,female,self_employed,never_married,1,25,1,3,1,1,4,4,4,4,5,2,1,2,4,1,4
741,A,22,12,277,male,regular,never_married,3,49,1,4,1,2,4,4,5,4,5,3,3,2,3,2,3
742,B,40,16,439,female,self_employed,married,4,56,1,2,2,1,5,5,5,5,5,3,2,1,1,1,5
743,B,36,16,770,male,regular,married,2,37,2,3,3,2,3,2,2,4,3,3,5,4,3,3,2
744,B,21,12,199,female,self_employed,never_married,4,46,1,1,1,1,5,5,5,5,5,1,1,1,1,1,5
745,B,56,12,395,male,self_employed,married,2,39,4,4,3,3,2,3,4,3,2,4,3,2,2,3,3
746,A,32,12,148,female,nonregular,married,2,27,5,3,3,3,2,2,3,1,2,4,4,3,3,4,3
747,B,41,12,772,male,self_employed,never_married,4,47,4,3,4,4,2,3,4,4,4,3,2,2,4,3,3
748,B,54,12,751,male,regular,married,2,40,4,3,4,4,3,3,3,2,3,4,3,3,3,1,5
749,A,44,14,456,male,regular,married,2,37,2,2,2,2,4,3,3,5,4,2,2,2,3,1,4
750,B,63,16,163,male,not_employed,never_married,1,0,1,2,1,2,2,3,5,5,3,4,4,3,3,3,3
751,B,43,16,454,male,regular,never_married,1,36,3,2,2,2,4,3,5,4,5,1,3,3,3,3,3
752,B,49,14,556,female,regular,married,4,40,5,5,4,4,4,3,4,2,2,3,1,2,2,1,4
753,B,25,12,312,male,regular,married,5,33,2,2,3,2,4,2,1,3,3,2,1,1,2,2,3
754,B,34,14,528,female,regular,married,3,37,3,3,3,2,4,4,5,5,5,1,1,2,2,1,5
755,B,62,12,172,male,not_employed,married,3,0,3,2,4,4,4,4,3,4,3,2,3,2,4,4,4
756,B,31,16,1079,female,regular,married,2,37,2,2,1,2,4,5,4,4,4,3,1,2,1,3,3
757,B,21,14,157,male,nonregular,married,3,27,4,3,4,3,3,2,3,3,2,3,3,2,2,2,4
758,A,37,12,164,male,nonregular,married,3,15,3,4,4,2,4,4,4,4,4,4,3,3,3,2,2
759,A,24,12,239,female,regular,never_married,2,41,4,3,3,3,2,2,5,2,3,4,2,2,3,3,4
760,B,60,16,195,male,nonregular,never_married,1,26,1,1,3,2,4,5,5,5,5,2,2,1,1,1,5
761,A,37,14,271,male,nonregular,married,2,23,3,4,4,2,3,3,3,2,2,3,2,3,2,1,5
762,A,38,12,310,male,nonregular,never_married,5,7,3,3,1,2,4,2,2,4,3,3,3,2,2,3,5
763,B,26,16,239,female,nonregular,never_married,1,9,4,2,3,2,3,4,3,3,4,2,1,1,4,1,5
764,A,60,12,601,female,regular,never_married,2,40,4,3,2,4,4,3,3,2,3,3,2,3,3,4,5
765,B,70,12,427,female,regular,married,3,40,4,4,3,4,2,3,4,3,3,5,3,2,3,3,3
766,B,76,12,128,female,not_employed,married,3,0,2,2,2,2,4,2,3,3,2,3,4,3,4,4,1
767,A,76,12,0,female,not_employed,married,5,0,5,5,5,5,1,2,3,3,2,4,4,3,5,5,1
768,A,26,14,274,male,regular,never_married,2,32,1,1,1,2,5,1,3,2,2,3,4,2,4,3,5
769,A,69,12,97,male,not_employed,married,2,0,1,3,1,3,3,4,4,4,4,2,4,3,2,3,4
770,B,36,12,334,male,regular,never_married,4,43,2,2,3,4,3,4,5,5,5,2,4,3,2,4,1
771,A,63,12,21,female,not_employed,married,4,0,4,5,5,5,2,3,3,3,3,1,3,3,5,4,3
772,A,38,12,304,male,not_employed,never_married,1,0,5,4,4,5,4,2,2,2,2,4,4,3,3,3,3
773,B,57,12,141,female,not_employed,divorced,1,0,4,3,3,4,3,3,5,5,5,2,3,3,3,3,3
774,A,75,9,57,male,nonregular,married,4,17,5,5,4,5,1,4,4,2,4,2,5,3,5,5,1
775,A,59,16,105,male,not_employed,married,3,0,5,5,5,5,1,1,1,3,2,5,3,3,4,4,3
776,B,26,12,491,female,regular,never_married,1,47,1,1,2,2,4,4,4,3,3,5,2,3,1,3,2
777,B,62,12,0,female,not_employed,never_married,1,0,4,2,3,4,3,2,4,2,1,5,2,2,5,4,1
778,A,34,12,212,male,nonregular,never_married,1,13,3,3,4,2,4,3,2,2,2,3,3,3,4,5,3
779,A,21,9,48,female,nonregular,never_married,5,14,3,3,1,1,4,3,1,3,2,3,1,1,2,2,3
